username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/625/B,P2 http://codeforces.com/problemset/problem/722/A,P3 http://codeforces.com/problemset/problem/731/A,P4 http://br.spoj.com/problems/QUERM/,P5 http://br.spoj.com/problems/JANELA13/,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1357,P7 http://codeforces.com/problemset/problem/567/A,P8 https://www.urionlinejudge.com.br/judge/en/problems/view/1091
brenos,1,Brazil,8,1,1,1,1,1,1,1,1
lucasan,2,Brazil,8,1,1,1,1,1,1,1,1
pablovfds,3,Brazil,8,1,1,1,1,1,1,1,1
lucasncabral,4,Brazil,8,1,1,1,1,1,1,1,1
oandrevictor,5,Brazil,8,1,1,1,1,1,1,1,1
gileadekelvin,6,Brazil,8,1,1,1,1,1,1,1,1
raquel.paz,7,Brazil,8,1,1,1,1,1,1,1,1
gabrielm19,8,Brazil,8,1,1,1,1,1,1,1,1
thaynan.nunes,9,Brazil,8,1,1,1,1,1,1,1,1
giuseppegm,10,Brazil,8,1,1,1,1,1,1,1,1
Caio.torres,11,Brazil,8,1,1,1,1,1,1,1,1
viniciusms,12,Brazil,8,1,1,1,1,1,1,1,1
vsseixaso,13,Brazil,8,1,1,1,1,1,1,1,1
raonismaneoto,14,Brazil,8,1,1,1,1,1,1,1,1
italoM,15,Brazil,8,1,1,1,1,1,1,1,1
leticiafw,16,Brazil,8,1,1,1,1,1,1,1,1
TiagoPereira,17,Brazil,8,1,1,1,1,1,1,1,1
MattheusB,18,Brazil,8,1,1,1,1,1,1,1,1
ronnansouza,19,Brazil,8,1,1,1,1,1,1,1,1
ffosilva,20,Brazil,8,1,1,1,1,1,1,1,1
Mainara,21,Brazil,8,1,1,1,1,1,1,1,1
GersonSales,22,Brazil,8,1,1,1,1,1,1,1,1
idantas,23,Brazil,8,1,1,1,1,1,1,1,1
jose.ferreira,24,Brazil,8,1,1,1,1,1,1,1,1
llama,25,Brazil,8,1,1,1,1,1,1,1,1
zeignacio,26,Brazil,8,1,1,1,1,1,1,1,1
lucashenrique125,27,Brazil,8,1,1,1,1,1,1,1,1
RonaldoMPF,28,Brazil,8,1,1,1,1,1,1,1,1
pedropaulo,29,Brazil,8,1,1,1,1,1,1,1,1
rafaelfalc,30,Brazil,8,1,1,1,1,1,1,1,1
nicacioliveira,31,Brazil,8,1,1,1,1,1,1,1,1
Augusto_Neto,32,Brazil,8,1,1,1,1,1,1,1,1
Ionesio,33,Brazil,8,1,1,1,1,1,1,1,1
victorbc,34,Brazil,7,1,1,1,1,1,1/--,1,1
juliobguedes,35,Brazil,7,1,1,1,1,1,0/--,1,1
MatheusBFreitas,36,Brazil,7,1,1,1,1,1,5/--,1,1
Avdluna,37,Brazil,6,1,1,0/--,1,1,0/--,1,1
Kaiosama,38,Malaysia,6,1,1,1,1,1,0/--,1,0/--
FelipeMarinho97,39,Brazil,5,0/--,0/--,1,1,2/--,1,1,1
hiagofernandes,40,Brazil,4,1,0/--,0/--,1,1,0/--,0/--,1
Rinoa,41,Brazil,4,0/--,1,0/--,1,1,0/--,0/--,1
luisadantas,42,Brazil,4,1,0/--,0/--,1,1,0/--,0/--,1
francis,43,Brazil,4,1,0/--,0/--,1,2/--,1,0/--,1
caiofelipe97,44,Brazil,2,0/--,0/--,0/--,0/--,1,0/--,0/--,1
beatrizhamad,45,Brazil,2,1,1,1,0/--,0/--,0/--,0/--,0/--
Coutzzz,46,Brazil,2,1,0/--,1,0/--,0/--,0/--,0/--,0/--
icarodantas123,47,Brazil,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
claramm,48,Brazil,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1
katson,49,Brazil,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1
sDuarte,50,Brazil,1,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--
