username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/315/B,P2 http://codeforces.com/problemset/problem/451/B,P3 http://codeforces.com/problemset/problem/18/C,P4 https://www.urionlinejudge.com.br/judge/en/problems/view/1426,P5 https://www.urionlinejudge.com.br/judge/en/problems/view/1802,P6 http://codeforces.com/problemset/problem/430/B,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1898,P8 http://codeforces.com/problemset/problem/580/B,P9 https://www.urionlinejudge.com.br/judge/en/problems/view/1089
oandrevictor,1,Brazil,9,1,1,1,1,1,1,1,1,1
brenos,2,Brazil,9,1,1,1,1,1,1,1,1,1
gileadekelvin,3,Brazil,9,1,1,1,1,1,1,1,1,1
GersonSales,4,Brazil,9,1,1,1,1,1,1,1,1,1
raquel.paz,5,Brazil,9,1,1,1,1,1,1,1,1,1
thaynan.nunes,6,Brazil,9,1,1,1,1,1,1,1,1,1
pablovfds,7,Brazil,9,1,1,1,1,1,1,1,1,1
ronnansouza,8,Brazil,9,1,1,1,1,1,1,1,1,1
italoM,9,Brazil,9,1,1,1,1,1,1,1,1,1
MattheusB,10,Brazil,9,1,1,1,1,1,1,1,1,1
nicacioliveira,11,Brazil,9,1,1,1,1,1,1,1,1,1
llama,12,Brazil,9,1,1,1,1,1,1,1,1,1
gabrielm19,13,Brazil,8,1,1,1,1,2/--,1,1,1,1
giuseppegm,14,Brazil,8,1,1,1,1,1,0/--,1,1,1
viniciusms,15,Brazil,7,1,1,1,1,1,1,0/--,0/--,1
vsseixaso,16,Brazil,7,1,1,1,1,1,1,1,1,1
victorbc,17,Brazil,7,1,0/--,1,1,1,1,1,1,1
zeignacio,18,Brazil,7,1,0/--,1,1,1,1,1,0/--,1
idantas,19,Brazil,7,1,1,1,1,1,0/--,1,0/--,1
Ionesio,20,Brazil,7,1,1,1,1,1,1,1,1,0/--
rafaelfalc,21,Brazil,7,1,1,1,1,1,1,5/--,1,1
csu,22,Brazil,6,1,1,1,0/--,0/--,1,0/--,1,1
raonismaneoto,23,Brazil,6,1,1,1,1,1,1,1,1,1
ffosilva,24,Brazil,6,1,1,1,0/--,1,1,8/--,1,1
Caio.torres,25,Brazil,5,0/--,1,0/--,1,1,0/--,1,0/--,1
lucasncabral,26,Brazil,5,1,0/--,1,1,1,0/--,0/--,1,1
Mainara,27,Brazil,4,1,1,1,0/--,0/--,0/--,1,0/--,0/--
lucashenrique125,28,Brazil,4,1,1,1,0/--,0/--,0/--,1,0/--,0/--
Augusto_Neto,29,Brazil,4,1,0/--,1,0/--,0/--,0/--,1,1,1
RonaldoMPF,30,Brazil,4,0/--,0/--,1,0/--,1,0/--,1,0/--,1
pedropaulo,31,Brazil,2,0/--,1,1,0/--,0/--,0/--,0/--,0/--,1/--
jose.ferreira,32,Brazil,2,1,0/--,1,0/--,0/--,0/--,0/--,1,0/--
MatheusBFreitas,33,Brazil,2,1,1,1,0/--,0/--,0/--,0/--,0/--,0/--
FelipeMarinho97,34,Brazil,2,0/--,0/--,0/--,0/--,0/--,0/--,1,0/--,1
francis,35,Brazil,2,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
caiofelipe97,36,Brazil,2,0/--,0/--,1,1,0/--,0/--,0/--,0/--,0/--
luisadantas,37,Brazil,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1
leticiafw,38,Brazil,1,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
