username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/625/A,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1323,P3 https://www.urionlinejudge.com.br/judge/en/problems/view/1307,P4 http://codeforces.com/problemset/problem/660/A,P5 http://codeforces.com/problemset/problem/260/A,P6 http://codeforces.com/problemset/problem/732/A,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1926,P8 https://www.urionlinejudge.com.br/judge/en/problems/view/1161,P9 https://www.urionlinejudge.com.br/judge/en/problems/view/1028,P10 https://www.urionlinejudge.com.br/judge/en/problems/view/1170,P11 http://codeforces.com/problemset/problem/624/A
raquel.paz,1,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
oandrevictor,2,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
thaynan.nunes,3,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
gabrielm19,4,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
gileadekelvin,5,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
pablovfds,6,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
ronnansouza,7,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
italoM,8,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
giuseppegm,9,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
lucashenrique125,10,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
Caio.torres,11,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
Coutzzz,12,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
victorbc,13,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
viniciusms,14,Brazil,11,1,1,1,1,1,1,1,1,1,1,1
nicacioliveira,15,Brazil,10,1,1,1,1,1,1,0/--,1,1,1,1
MattheusB,16,Brazil,10,1,1,1,1,1,1,1/--,1,1,1,1
brenos,17,Brazil,10,1,1,1,1,1,1,0/--,1,1,1,1
lucasncabral,18,Brazil,10,1,1,1,1,1,1,1,1,1,1,1
jose.ferreira,19,Brazil,10,1,1,1,1,1,1,0/--,1,1,1,1
zeignacio,20,Brazil,10,1,1,1,1,1,1,1,1,1,1,1
GersonSales,21,Brazil,10,1,1,1,1,1,1,0/--,1,1,1,1
Ionesio,22,Brazil,9,1,1,1,1,1,1,1/--,1,1,1,1
MatheusBFreitas,23,Brazil,9,1,1,0/--,1,1,1,5/--,1,1,1,1
ffosilva,24,Brazil,9,1,1,1,0/--,1,1,1,1,1,1,1
vsseixaso,25,Brazil,8,0/--,1,1,1,1,1,0/--,1,1,1,1
idantas,26,Brazil,8,1,1,1,0/--,0/--,1,1,1,1,1,1
rafaelfalc,27,Brazil,8,1,1,1,1,0/--,0/--,1,1,1,1,0/--
RonaldoMPF,28,Brazil,8,0/--,1,1,0/--,0/--,1,1,1,1,1,1
lucasan,29,Brazil,7,0/--,1,1,1,1,1,1,1,0/--,0/--,0/--
raonismaneoto,30,Brazil,7,1,1,0/--,0/--,1,0/--,1,1,1,1,1
Mainara,31,Brazil,7,1,1,1,1,0/--,0/--,0/--,1,1,1,0/--
llama,32,Brazil,6,0/--,1,1,0/--,0/--,0/--,1,1,1,1,0/--
luisadantas,33,Brazil,4,0/--,1,0/--,0/--,0/--,0/--,0/--,1,1,1,0/--
Augusto_Neto,34,Brazil,4,0/--,1,0/--,0/--,0/--,0/--,0/--,0/--,1,1,1
caiofelipe97,35,Brazil,3,0/--,1,1,0/--,0/--,0/--,0/--,1,0/--,0/--,0/--
Teofr,36,Argentina,2,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
pedropaulo,37,Brazil,2,0/--,1,0/--,0/--,1,0/--,0/--,0/--,0/--,1,0/--
evelinne,38,Brazil,1,1,1,0/--,0/--,0/--,0/--,3/--,0/--,0/--,0/--,0/--
analuizamtg,39,Brazil,1,0/--,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
ArturHerm,40,Brazil,1,0/--,9/--,1/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,1
FelipeMarinho97,41,Brazil,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
hiagonfs,42,Brazil,1,0/--,1,0/--,0/--,1,0/--,0/--,3/--,0/--,0/--,0/--
csu,43,Brazil,1,0/--,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
ico,44,India,0,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
