username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/271/B,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1077,P3 http://www.spoj.com/problems/BSEARCH1/,P4 http://codeforces.com/problemset/problem/733/D,P5 http://codeforces.com/problemset/problem/501/B,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1235,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1068,P8 http://codeforces.com/problemset/problem/625/C,P9 https://www.urionlinejudge.com.br/judge/en/problems/view/2064,P10 https://www.urionlinejudge.com.br/judge/en/problems/view/1340
pablovfds,1,Brazil,9,1,1,1,0/--,1,1,1,1,1,1
italoM,2,Brazil,8,1,1,1,0/--,1,1,1,1,2/--,1
oandrevictor,3,Brazil,7,1,0/--,1,0/--,1,1,1,1,0/--,1
gabrielm19,4,Brazil,7,1,0/--,1,0/--,1,1,1,1,1/--,1
ffosilva,5,Brazil,7,1,1,1,0/--,1,1,1,0/--,3/--,1
llama,6,Brazil,7,1,1,1,0/--,1,1,1,0/--,1/--,1
raquel.paz,7,Brazil,6,1,0/--,1,0/--,1,1,1,0/--,0/--,1
nicacioliveira,8,Brazil,6,0/--,1,1,0/--,0/--,1,1,0/--,1,1
Ionesio,9,Brazil,6,1,1,1,0/--,0/--,1,1,0/--,0/--,1
thaynan.nunes,10,Brazil,6,1,0/--,1,0/--,1,1,1,0/--,0/--,1
giuseppegm,11,Brazil,6,1,0/--,1,0/--,1,1,1,0/--,0/--,1
rafaelfalc,12,Brazil,6,1,1,0/--,0/--,1,1,1,0/--,0/--,1
Mainara,13,Brazil,5,1,0/--,1,0/--,0/--,1,1,0/--,0/--,1
brenos,14,Brazil,4,0/--,0/--,0/--,0/--,1,1,1,0/--,0/--,1
gileadekelvin,15,Brazil,4,0/--,0/--,1,0/--,0/--,1,1,0/--,0/--,1
victorbc,16,Brazil,4,0/--,0/--,0/--,0/--,1,1,1,0/--,0/--,1
Coutzzz,17,Brazil,4,0/--,1/--,0/--,0/--,1,1,1,0/--,1/--,1
francis,18,Brazil,3,0/--,0/--,1,0/--,0/--,1,1,0/--,0/--,0/--
FelipeMarinho97,19,Brazil,3,0/--,0/--,1,0/--,0/--,1,1,0/--,0/--,0/--
idantas,20,Brazil,3,0/--,1/--,1/--,0/--,0/--,1,1,0/--,0/--,1
lucashenrique125,21,Brazil,3,0/--,0/--,1,0/--,0/--,1,1,0/--,0/--,0/--
ronnansouza,22,Brazil,3,0/--,0/--,2/--,0/--,0/--,1,1,0/--,0/--,1
Augusto_Neto,23,Brazil,2,0/--,0/--,7/--,0/--,0/--,1,1,0/--,0/--,0/--
pedropaulo,24,Brazil,2,0/--,0/--,2/--,0/--,0/--,1,1,0/--,0/--,1/--
MattheusB,25,Brazil,2,0/--,0/--,1/--,0/--,0/--,1,1,0/--,0/--,0/--
jose.ferreira,26,Brazil,2,0/--,0/--,0/--,0/--,0/--,1,1,0/--,0/--,0/--
luisadantas,27,Brazil,1,0/--,0/--,0/--,0/--,0/--,0/--,1,0/--,0/--,0/--
