username,ranking,country,number of solved problems,P1 https://www.urionlinejudge.com.br/judge/en/problems/view/1862,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1583,P3 https://www.urionlinejudge.com.br/judge/en/problems/view/1905,P4 http://codeforces.com/problemset/problem/520/B,P5 http://codeforces.com/problemset/problem/727/A,P6 http://codeforces.com/problemset/problem/682/C,P7 http://codeforces.com/problemset/problem/510/B,P8 http://codeforces.com/problemset/problem/217/A,P9 http://codeforces.com/problemset/problem/505/B
oandrevictor,1,Brazil,7,1,1,1,1,1,1,1,1,0/--
gileadekelvin,2,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
pablovfds,3,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
thaynan.nunes,4,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
ronnansouza,5,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
giuseppegm,6,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
rafaelfalc,7,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
viniciusms,8,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
RonaldoMPF,9,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
Coutzzz,10,Brazil,7,1,1,1,1,1,1,1,1,0/--
Mainara,11,Brazil,7,1,1,1,1,1,0/--,1,1,0/--
gabrielm19,12,Brazil,6,8/--,1,1,1,1,0/--,1,1,0/--
italoM,13,Brazil,6,2/--,1,1,1,1,0/--,1,1,0/--
raquel.paz,14,Brazil,6,0/--,1,1,1,1,0/--,1,1,0/--
Caio.torres,15,Brazil,6,0/--,1,1,1,1,0/--,1,1,0/--
lucashenrique125,16,Brazil,6,1,1,1,1,1,0/--,1,0/--,0/--
Ionesio,17,Brazil,6,1,1,1,1,0/--,0/--,1,1,0/--
nicacioliveira,18,Brazil,6,0/--,1,1,1,1,0/--,1,1,0/--
lucasncabral,19,Brazil,6,0/--,1,1,1,1,1,1,1,0/--
brenos,20,Brazil,5,0/--,1,0/--,1,1,0/--,1,1,0/--
raonismaneoto,21,Brazil,5,0/--,1,1,1,0/--,0/--,1,1,0/--
ffosilva,22,Brazil,4,0/--,0/--,3/--,1,1,0/--,1,1,0/--
Augusto_Neto,23,Brazil,4,1,0/--,0/--,1,1,0/--,1,0/--,0/--
MattheusB,24,Brazil,3,0/--,0/--,0/--,1,1,0/--,1,0/--,0/--
pedropaulo,25,Brazil,2,0/--,1,4/--,1,1,0/--,1,1,0/--
MatheusBFreitas,26,Brazil,2,0/--,0/--,0/--,0/--,1,0/--,1,0/--,0/--
vsseixaso,27,Brazil,1,0/--,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--
idantas,28,Brazil,1,0/--,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--
victorbc,29,Brazil,1,0/--,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--
