username,ranking,country,number of solved problems,P1 http://br.spoj.com/problems/BOTAS/,P2 http://br.spoj.com/problems/OLIMPJ09/,P3 https://www.urionlinejudge.com.br/judge/en/problems/view/2381,P4 https://www.urionlinejudge.com.br/judge/en/problems/view/2345,P5 https://www.urionlinejudge.com.br/judge/en/problems/view/1247,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1451
oandrevictor,1,Brazil,6,1,1,1,1,1,1
gabrielm19,2,Brazil,4,1,1,1,1,3/--,0/--
giuseppegm,3,Brazil,4,1,1,1,1,1/--,0/--
raquel.paz,4,Brazil,4,1,1/--,1,1,0/--,1
italoM,5,Brazil,3,1,1/--,1,1,0/--,0/--
brenos,6,Brazil,3,1/--,0/--,1,1,1/--,1
lucashenrique125,7,Brazil,3,3/--,0/--,1,1,1,0/--
pedropaulo,8,Brazil,3,1,0/--,1,1,0/--,0/--
FelipeMarinho97,9,Brazil,3,1,1/--,1,1,0/--,0/--
gileadekelvin,10,Brazil,2,0/--,0/--,1,1,2/--,0/--
GersonSales,11,Brazil,2,3/--,0/--,1,1,0/--,0/--
ronnansouza,12,Brazil,2,0/--,1/--,1,1,0/--,0/--
Augusto_Neto,13,Brazil,2,0/--,0/--,1,1,2/--,0/--
lucasncabral,14,Brazil,2,1/--,2/--,1,1,0/--,0/--
Coutzzz,15,Brazil,2,3/--,0/--,1,1,0/--,1/--
Mainara,16,Brazil,2,1/--,0/--,1,1,1/--,0/--
luisadantas,17,Brazil,2,0/--,0/--,1,1,0/--,0/--
MattheusB,18,Brazil,2,2/--,0/--,1,1,2/--,0/--
nicacioliveira,19,Brazil,2,0/--,0/--,1,1,6/--,0/--
francis,20,Brazil,1,0/--,0/--,0/--,1,0/--,0/--
jose.ferreira,20,Brazil,1,0/--,0/--,1,0/--,0/--,0/--
