username,ranking,country,number of solved problems,P1 https://www.urionlinejudge.com.br/judge/en/problems/view/1044,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1018,P3 https://www.urionlinejudge.com.br/judge/en/problems/view/1091,P4 http://br.spoj.com/problems/QUERM/,P5 http://br.spoj.com/problems/FROTATAX/,P6 http://codeforces.com/problemset/problem/451/A,P7 http://codeforces.com/problemset/problem/617/A,P8 http://br.spoj.com/problems/JANELA13/
lucaspk33,1,Brazil,8,1,1,1,1,1,1,1,1
arthur1992,2,Brazil,8,1,1,1,1,1,1,1,1
pherivelton,3,Brazil,8,1,1,1,1,1,1,1,1
Sampaio,4,Brazil,8,1,1,1,1,1,1,1,1
lucasan,5,Brazil,8,1,1,1,1,1,1,1,1
caynanvls,6,Brazil,8,1,1,1,1,1,1,1,1
c0mpaq,7,Brazil,8,1,1,1,1,1,1,1,1
mateuslunacc,8,Brazil,8,1,1,1,1,1,1,1,1
jvmafra,9,Brazil,8,1,1,1,1,1,1,1,1
TiagoPereira,10,Brazil,8,1,1,1,1,1,1,1,1
claramm,11,Brazil,8,1,1,1,1,1,1,1,1
joaotargino,12,Brazil,8,1,1,1,1,1,1,1,1
brenos,13,Brazil,8,1,1,1,1,1,1,1,1
paulovitorsd,14,Brazil,8,1,1,1,1,1,1,1,1
pauloleitao,15,Brazil,8,1,1,1,1,1,1,1,1
gervasiocaj,16,Brazil,8,1,1,1,1,1,1,1,1
matheusgmaia,17,Brazil,8,1,1,1,1,1,1,1,1
kikoaugusto,18,Brazil,8,1,1,1,1,1,1,1,1
hiagofernandes,19,Brazil,8,1,1,1,1,1,1,1,1
raquel.paz,20,Brazil,8,1,1,1,1,1,1,1,1
lordivel,21,Brazil,8,1,1,1,1,1,1,1,1
rodrigofm,22,Brazil,8,1,1,1,1,1,1,1,1
rayffqueiroga,23,Brazil,8,1,1,1,1,1,1,1,1
caiofelipe97,24,Brazil,8,1,1,1,1,1,1,1,1
mareana,25,Brazil,8,1,1,1,1,1,1,1,1
marcosvn,26,Brazil,8,1,1,1,1,1,1,1,1
Renan,27,Brazil,8,1,1,1,1,1,1,1,1
claudivan,28,Brazil,6,1,1,1,1,1,0/--,0/--,1
nathanmrtns,29,Brazil,6,1,1,0/--,1,1,0/--,1,1
SuelanyBrC,30,Brazil,5,1,1,1,1,1,0/--,0/--,0/--
arturfreitas,31,Brazil,4,1,1,0/--,1,1,0/--,0/--,0/--
stenioelson,32,Brazil,3,1,1,1,0/--,0/--,0/--,0/--,0/--
luisadantas,33,Brazil,2,1,1,0/--,0/--,0/--,0/--,0/--,0/--
