username,ranking,country,number of solved problems,P1 http://www.spoj.com/problems/GSS1/,P2 http://www.spoj.com/problems/GSS3/,P3 http://www.spoj.com/problems/KGSS/,P4 http://www.spoj.com/problems/YODANESS/,P5 http://www.spoj.com/problems/RPLN/,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1301,P7 http://www.spoj.com/problems/TOPOLAND/,P8 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2176,P9 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3238,P10 http://acm.timus.ru/problem.aspx?space=1&num=1846
Ordan,1,Brazil,10,1,1,1,1,1,1,1,1,1,1
Gustavo Ribeiro,2,Brazil,10,1,1,1,1,1,1,1,1,1,1
dgt,3,Brazil,10,1,1,1,1,1,1,1,1,1,1
VictorAA,4,Brazil,10,1,1,1,1,1,1,1,1,1,1
GustavoMA,5,Brazil,10,1,1,1,1,1,1,1,1,1,1
mari_linhares,6,Brazil,9,1,1,1,1,1,1,1,1,1,0/--
lmaia,7,Brazil,9,1,1,1,1,1,1,1,1,1,0/--
Arthurv,8,Brazil,8,1,1,1,1,1,1,1,0/--,1,0/--
jefersonf,9,Brazil,8,1,1,1,1,1,1,2/--,1,1,0/--
guthyerrz,10,Brazil,8,1,1,1,0/--,1,1,1,1,1,0/--
Leulz,11,Brazil,7,1,1,1,1,1,1,0/--,0/--,1,0/--
tarcisob,12,Brazil,7,1,1,1,0/--,1,1,1,0/--,1,0/--
rerissondaniel,13,Brazil,5,0/--,0/--,1,0/--,1,1,1,0/--,1,0/--
